DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,1995,55.7,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,1996,76.3,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,1997,97.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,1998,101.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,1999,115.9,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2000,107.9,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2001,90.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2002,93.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2003,108.6,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2004,104.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2005,114.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2006,110.6,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2007,99.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2008,79.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2009,83.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2010,102.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2011,108.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2012,100.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2013,82.6,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2014,91.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2015,100.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2016,124.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2017,150.4,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2018,135.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2019,119.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2020,127.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2021,140.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,FI,2022,115.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,1995,70.9,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,1996,68.3,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,1997,80.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,1998,72.6,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,1999,72.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2000,74.3,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2001,79.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2002,73.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2003,73.4,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2004,96.9,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2005,101.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2006,107.3,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2007,105.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2008,82.7,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2009,62.7,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2010,68.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2011,89.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2012,97.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2013,97.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2014,87.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2015,100.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2016,116.9,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2017,113.7,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2018,101.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2019,102.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2020,96.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,I15,NO,2021,97.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,1996,37.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,1997,27.4,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,1998,4.7,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,1999,13.9,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2000,-6.9,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2001,-16.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2002,3.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2003,16.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2004,-3.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2005,9.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2006,-3.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2007,-9.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2008,-20.0,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2009,4.6,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2010,23.1,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2011,5.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2012,-7.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2013,-17.4,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2014,10.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2015,9.9,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2016,24.8,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2017,20.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2018,-10.2,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2019,-11.5,
ESTAT:STS_COBP_A(1.0),04/12/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2020,6.4,
